time,neg60pA,neg30pA,0pA,30pA,60pA,90pA,120pA,150pA,180pA,210pA,240pA
0.4644,-0.064626,-0.064935,-0.065125,-0.065018,-0.065153,-0.065079,-0.06513,-0.065279,-0.06492,-0.065243,-0.064858
0.46445,-0.064632,-0.064938,-0.065134,-0.065033,-0.065171,-0.065085,-0.06513,-0.065254,-0.064938,-0.065225,-0.064855
0.4645,-0.06465,-0.064959,-0.065131,-0.065036,-0.065177,-0.065097,-0.065148,-0.065257,-0.064966,-0.065228,-0.064846
0.46455,-0.064666,-0.064965,-0.065119,-0.065033,-0.065153,-0.065103,-0.065154,-0.065257,-0.064987,-0.065231,-0.06484
0.4646,-0.064663,-0.064959,-0.065119,-0.065021,-0.065153,-0.0651,-0.06516,-0.065257,-0.064993,-0.065225,-0.064846
0.46465,-0.06466,-0.064956,-0.065125,-0.065015,-0.065141,-0.065097,-0.065148,-0.06526,-0.06499,-0.065225,-0.064831
0.4647,-0.06465,-0.064935,-0.065137,-0.065006,-0.065141,-0.065103,-0.065148,-0.065248,-0.064981,-0.065216,-0.064816
0.46475,-0.064653,-0.064923,-0.06515,-0.065024,-0.065125,-0.065115,-0.065136,-0.065242,-0.064941,-0.065176,-0.064819
0.4648,-0.06465,-0.064914,-0.065143,-0.065042,-0.065122,-0.06513,-0.065127,-0.065257,-0.064938,-0.065149,-0.064831
0.46485,-0.06466,-0.064914,-0.065128,-0.065048,-0.065132,-0.065109,-0.065133,-0.065272,-0.064932,-0.06514,-0.064846
0.4649,-0.064687,-0.064914,-0.06511,-0.065039,-0.065116,-0.0651,-0.065145,-0.065306,-0.064926,-0.065167,-0.064858
0.46495,-0.064702,-0.064904,-0.065095,-0.06503,-0.065098,-0.065076,-0.065142,-0.065321,-0.064923,-0.065176,-0.064849
0.465,-0.064705,-0.064904,-0.065085,-0.065018,-0.065092,-0.065051,-0.065124,-0.065306,-0.064899,-0.065167,-0.064846
0.46505,-0.064702,-0.064898,-0.065092,-0.065,-0.065104,-0.065045,-0.065117,-0.065282,-0.064877,-0.065158,-0.06484
0.4651,-0.064705,-0.064904,-0.065104,-0.064997,-0.065129,-0.065054,-0.06512,-0.06526,-0.06488,-0.06514,-0.064843
0.46515,-0.064721,-0.06491,-0.065107,-0.065003,-0.065125,-0.065066,-0.065139,-0.06526,-0.064892,-0.065137,-0.064846
0.4652,-0.06473,-0.064923,-0.065101,-0.065018,-0.065116,-0.065082,-0.065172,-0.065263,-0.064892,-0.065137,-0.064852
0.46525,-0.064733,-0.06492,-0.065107,-0.065018,-0.065113,-0.065088,-0.065181,-0.065276,-0.064908,-0.065155,-0.064825
0.4653,-0.064724,-0.064914,-0.065113,-0.065015,-0.065119,-0.065069,-0.065151,-0.065297,-0.064899,-0.065167,-0.064828
0.46535,-0.064708,-0.064904,-0.06511,-0.065006,-0.065135,-0.065042,-0.065117,-0.065318,-0.064911,-0.06517,-0.064828
0.4654,-0.064696,-0.064904,-0.065137,-0.065003,-0.065138,-0.065045,-0.065099,-0.065321,-0.064899,-0.065173,-0.064849
0.46545,-0.064702,-0.064904,-0.065162,-0.065009,-0.065129,-0.065054,-0.065099,-0.065321,-0.064911,-0.065167,-0.06488
0.4655,-0.064708,-0.064901,-0.065162,-0.065012,-0.065107,-0.065051,-0.065111,-0.065306,-0.064932,-0.065176,-0.064892
0.46555,-0.06469,-0.064892,-0.065162,-0.065012,-0.065098,-0.065051,-0.065136,-0.065291,-0.064953,-0.065207,-0.064874
0.4656,-0.064669,-0.064883,-0.065156,-0.064994,-0.065086,-0.06503,-0.065139,-0.065285,-0.064941,-0.065231,-0.064858
0.46565,-0.06465,-0.064886,-0.06515,-0.06496,-0.065086,-0.065005,-0.06513,-0.065272,-0.064932,-0.065231,-0.064858
0.4657,-0.064669,-0.064883,-0.065146,-0.064957,-0.065092,-0.065018,-0.065108,-0.065254,-0.064926,-0.065225,-0.06487
0.46575,-0.064687,-0.064886,-0.065131,-0.064963,-0.065101,-0.065021,-0.065099,-0.065257,-0.064911,-0.065225,-0.064867
0.4658,-0.064705,-0.064901,-0.065125,-0.064987,-0.065095,-0.065021,-0.065084,-0.06526,-0.06492,-0.065231,-0.064864
0.46585,-0.064718,-0.064901,-0.065131,-0.065003,-0.065086,-0.065033,-0.065093,-0.06526,-0.064941,-0.06524,-0.064861
0.4659,-0.064727,-0.06491,-0.065122,-0.065012,-0.065071,-0.065042,-0.065102,-0.065269,-0.06496,-0.065225,-0.064846
0.46595,-0.064724,-0.064892,-0.065107,-0.065003,-0.065077,-0.065042,-0.065111,-0.06526,-0.064975,-0.065213,-0.064837
0.466,-0.064733,-0.064874,-0.065076,-0.064997,-0.065071,-0.06503,-0.065114,-0.065272,-0.064972,-0.06521,-0.064837
0.46605,-0.064733,-0.064859,-0.06507,-0.064972,-0.065071,-0.065005,-0.065111,-0.065297,-0.064966,-0.065207,-0.06484
0.4661,-0.064736,-0.064871,-0.065076,-0.064972,-0.065077,-0.064996,-0.065099,-0.065306,-0.064953,-0.065201,-0.064843
0.46615,-0.064739,-0.064914,-0.065092,-0.064987,-0.065083,-0.064993,-0.065087,-0.065306,-0.064947,-0.065204,-0.064831
0.4662,-0.064748,-0.064935,-0.065089,-0.065018,-0.065092,-0.065002,-0.065087,-0.065309,-0.064938,-0.065201,-0.064825
0.46625,-0.064751,-0.064935,-0.065101,-0.065048,-0.065086,-0.064999,-0.065093,-0.065312,-0.064941,-0.065185,-0.064825
0.4663,-0.064736,-0.064907,-0.065113,-0.065055,-0.065086,-0.065011,-0.065099,-0.065321,-0.064935,-0.065185,-0.06484
0.46635,-0.064733,-0.064889,-0.065113,-0.065061,-0.065095,-0.065024,-0.065102,-0.065321,-0.064917,-0.065192,-0.064864
0.4664,-0.064736,-0.064874,-0.065125,-0.065082,-0.065086,-0.065039,-0.065099,-0.065315,-0.064895,-0.065195,-0.064889
0.46645,-0.064748,-0.064883,-0.065122,-0.065085,-0.06508,-0.065048,-0.065108,-0.0653,-0.064874,-0.065198,-0.064895
0.4665,-0.064751,-0.06488,-0.065122,-0.06507,-0.065077,-0.065036,-0.065108,-0.065285,-0.064859,-0.065189,-0.064889
0.46655,-0.064745,-0.064889,-0.065113,-0.065064,-0.065055,-0.065021,-0.065099,-0.065272,-0.064859,-0.065179,-0.06488
0.4666,-0.06473,-0.064889,-0.065122,-0.065042,-0.065055,-0.065018,-0.06509,-0.065266,-0.064865,-0.065164,-0.06488
0.46665,-0.064736,-0.064892,-0.065122,-0.065021,-0.065055,-0.065011,-0.06509,-0.065269,-0.064889,-0.065158,-0.064874
0.4667,-0.064742,-0.064886,-0.065134,-0.065003,-0.065061,-0.065042,-0.065099,-0.065285,-0.064899,-0.065161,-0.064877
0.46675,-0.064751,-0.064886,-0.065125,-0.065009,-0.065083,-0.065072,-0.065124,-0.065288,-0.064899,-0.065143,-0.064874
0.4668,-0.06476,-0.064862,-0.065125,-0.065036,-0.065101,-0.065088,-0.065136,-0.065272,-0.064899,-0.065146,-0.06487
0.46685,-0.064745,-0.064849,-0.06511,-0.065042,-0.065116,-0.065088,-0.06512,-0.065269,-0.064899,-0.065158,-0.06487
0.4669,-0.064742,-0.064837,-0.065089,-0.065036,-0.065132,-0.065076,-0.065099,-0.065263,-0.064886,-0.065173,-0.064874
0.46695,-0.064745,-0.064837,-0.065064,-0.065015,-0.065153,-0.065088,-0.065099,-0.065257,-0.064874,-0.065195,-0.064901
0.467,-0.064751,-0.064843,-0.065064,-0.064994,-0.065162,-0.0651,-0.065099,-0.065272,-0.064883,-0.065216,-0.064922
0.46705,-0.064769,-0.064837,-0.065064,-0.064984,-0.065153,-0.065088,-0.065099,-0.065291,-0.064892,-0.065222,-0.064938
0.4671,-0.064782,-0.064834,-0.065064,-0.064981,-0.065171,-0.065072,-0.065093,-0.065294,-0.064889,-0.065216,-0.064928
0.46715,-0.064769,-0.064837,-0.065055,-0.064987,-0.06518,-0.065045,-0.06509,-0.065272,-0.064892,-0.065225,-0.064904
0.4672,-0.064748,-0.064837,-0.065043,-0.065009,-0.065177,-0.06503,-0.065087,-0.065254,-0.06488,-0.065231,-0.06488
0.46725,-0.064748,-0.064852,-0.065037,-0.065018,-0.065177,-0.065036,-0.065093,-0.065239,-0.064883,-0.065219,-0.064867
0.4673,-0.064745,-0.064856,-0.065031,-0.065024,-0.065174,-0.065054,-0.065108,-0.065221,-0.064892,-0.065204,-0.064874
0.46735,-0.064742,-0.064868,-0.065037,-0.065018,-0.065171,-0.065082,-0.065124,-0.065224,-0.064914,-0.065182,-0.064883
0.4674,-0.064742,-0.064874,-0.065046,-0.065006,-0.065171,-0.065091,-0.065145,-0.06523,-0.064917,-0.065179,-0.064886
0.46745,-0.064739,-0.064886,-0.065027,-0.065003,-0.065168,-0.065079,-0.065154,-0.065236,-0.064926,-0.065176,-0.064895
0.4675,-0.064742,-0.064901,-0.065015,-0.064997,-0.065147,-0.06506,-0.065163,-0.065239,-0.064923,-0.065182,-0.064916
0.46755,-0.064748,-0.064914,-0.065027,-0.064987,-0.065129,-0.065042,-0.065157,-0.065263,-0.064917,-0.065176,-0.064919
0.4676,-0.064751,-0.064926,-0.065052,-0.06499,-0.065116,-0.065033,-0.065142,-0.065272,-0.06492,-0.065173,-0.064919
0.46765,-0.064763,-0.064926,-0.06507,-0.06499,-0.065119,-0.065036,-0.065142,-0.065282,-0.064908,-0.065161,-0.064916
0.4677,-0.06476,-0.064947,-0.065089,-0.064984,-0.065135,-0.065054,-0.065142,-0.065291,-0.064902,-0.065173,-0.064916
0.46775,-0.064736,-0.064965,-0.065085,-0.06499,-0.065141,-0.065063,-0.065148,-0.065279,-0.064892,-0.065189,-0.064922
0.4678,-0.06473,-0.064968,-0.065079,-0.06499,-0.065147,-0.06506,-0.065142,-0.065272,-0.064886,-0.065198,-0.064922
0.46785,-0.064711,-0.064959,-0.065082,-0.064994,-0.065147,-0.065051,-0.065133,-0.065266,-0.064886,-0.06521,-0.064941
0.4679,-0.064687,-0.064935,-0.065095,-0.065012,-0.065144,-0.065039,-0.065111,-0.065272,-0.064892,-0.065225,-0.064944
